Date,V1,V2,V3
2024-5-9 9:46:55,128.67 ,125.84 ,126.97 
2024-5-9 9:46:56,128.62 ,125.82 ,126.98 
2024-5-9 9:46:57,128.57 ,125.79 ,126.89 
2024-5-9 9:46:59,128.60 ,125.84 ,126.95 
2024-5-9 9:47:0,128.51 ,125.80 ,126.88 
2024-5-9 9:47:1,128.53 ,125.78 ,126.84 
2024-5-9 9:47:2,128.54 ,125.78 ,126.83 
2024-5-9 9:47:4,128.50 ,125.75 ,126.79 
2024-5-9 9:47:5,128.56 ,125.84 ,126.88 
2024-5-9 9:47:6,128.49 ,125.79 ,126.80 
2024-5-9 9:47:7,128.45 ,125.77 ,126.77 
2024-5-9 9:47:8,128.47 ,125.74 ,126.76 
2024-5-9 9:47:10,128.48 ,125.65 ,126.63 
2024-5-9 9:47:11,128.41 ,125.66 ,126.69 
2024-5-9 9:47:12,128.33 ,125.60 ,126.57 
2024-5-9 9:47:13,128.35 ,125.65 ,126.51 
2024-5-9 9:47:14,128.28 ,126.40 ,126.50 
2024-5-9 9:47:16,128.40 ,126.60 ,126.57 
2024-5-9 9:47:17,128.35 ,126.61 ,126.55 
2024-5-9 9:47:18,128.34 ,126.59 ,126.52 
2024-5-9 9:47:19,128.37 ,126.58 ,126.52 
2024-5-9 9:47:21,128.32 ,126.61 ,126.47 
2024-5-9 9:47:22,128.35 ,126.67 ,126.47 
2024-5-9 9:47:23,128.40 ,126.73 ,126.59 
2024-5-9 9:47:24,128.41 ,126.76 ,126.61 
2024-5-9 9:47:25,128.45 ,126.75 ,126.60 
2024-5-9 9:47:27,128.47 ,126.80 ,126.66 
2024-5-9 9:47:28,128.46 ,126.82 ,126.65 
2024-5-9 9:47:29,128.47 ,126.85 ,126.71 
2024-5-9 9:47:30,128.51 ,126.85 ,126.74 
2024-5-9 9:47:32,128.51 ,126.89 ,126.79 
2024-5-9 9:47:33,128.56 ,126.92 ,126.79 
2024-5-9 9:47:34,128.47 ,126.87 ,126.79 
2024-5-9 9:47:35,128.53 ,126.89 ,126.85 
2024-5-9 9:47:36,128.50 ,126.83 ,126.87 
2024-5-9 9:47:38,128.52 ,126.82 ,126.81 
2024-5-9 9:47:39,128.56 ,126.87 ,126.86 
2024-5-9 9:47:40,128.57 ,126.93 ,126.90 
2024-5-9 9:47:41,128.57 ,126.96 ,126.91 
2024-5-9 9:47:42,128.61 ,126.98 ,126.90 
2024-5-9 9:47:44,128.59 ,126.99 ,126.95 
2024-5-9 9:47:45,128.49 ,126.96 ,126.92 
2024-5-9 9:47:46,128.51 ,126.93 ,126.87 
2024-5-9 9:47:47,128.54 ,126.90 ,126.80 
2024-5-9 9:47:49,128.53 ,126.98 ,126.87 
2024-5-9 9:47:50,128.57 ,126.95 ,126.86 
2024-5-9 9:47:51,128.43 ,126.78 ,126.76 
2024-5-9 9:47:52,128.48 ,126.85 ,126.78 
2024-5-9 9:47:53,128.39 ,126.80 ,126.72 
2024-5-9 9:47:55,128.49 ,126.90 ,126.78 
2024-5-9 9:47:56,128.60 ,126.98 ,126.87 
2024-5-9 9:47:57,128.61 ,127.01 ,126.85 
